TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,DET,@BAL,CAR,SEA,@CIN,ATL,@NYG,@NO,SF,@TB,@SF,BYE,LA,PIT,CLE,@SEA,@LA
ATL,@MIN,PHI,@IND,TEN,@HOU,@ARI,LA,SEA,BYE,@NO,@CAR,TB,NO,CAR,@SF,JAX,@TB
BAL,@MIA,ARI,@KC,CLE,@PIT,CIN,@SEA,BYE,NE,@CIN,HOU,@LA,SF,@BUF,NYJ,@CLE,PIT
BUF,@NYJ,@NYG,CIN,NE,@TEN,BYE,MIA,PHI,WAS,@CLE,@MIA,DEN,@DAL,BAL,@PIT,@NE,NYJ
CAR,LA,TB,@ARI,@HOU,JAX,@TB,BYE,@SF,TEN,@GB,ATL,@NO,WAS,@ATL,SEA,@IND,NO
CHI,GB,@DEN,@WAS,MIN,@OAK,BYE,NO,LAC,@PHI,DET,@LA,NYG,@DET,DAL,@GB,KC,@MIN
CIN,@SEA,SF,@BUF,@PIT,ARI,@BAL,JAX,@LA,BYE,BAL,@OAK,PIT,NYJ,@CLE,NE,@MIA,CLE
CLE,TEN,@NYJ,LA,@BAL,@SF,SEA,BYE,@NE,@DEN,BUF,PIT,MIA,@PIT,CIN,@ARI,BAL,@CIN
DAL,NYG,@WAS,MIA,@NO,GB,@NYJ,PHI,BYE,@NYG,MIN,@DET,@NE,BUF,@CHI,LA,@PHI,WAS
DEN,@OAK,CHI,@GB,JAX,@LAC,TEN,KC,@IND,CLE,BYE,@MIN,@BUF,LAC,@HOU,@KC,DET,OAK
DET,@ARI,LAC,@PHI,KC,BYE,@GB,MIN,NYG,@OAK,@CHI,DAL,@WAS,CHI,@MIN,TB,@DEN,GB
GB,@CHI,MIN,DEN,PHI,@DAL,DET,OAK,@KC,@LAC,CAR,BYE,@SF,@NYG,WAS,CHI,@MIN,@DET
HOU,@NO,JAX,@LAC,CAR,ATL,@KC,@IND,OAK,@JAX,BYE,@BAL,IND,NE,DEN,@TEN,@TB,TEN
IND,@LAC,@TEN,ATL,OAK,@KC,BYE,HOU,DEN,@PIT,MIA,JAX,@HOU,TEN,@TB,@NO,CAR,@JAX
JAX,KC,@HOU,TEN,@DEN,@CAR,NO,@CIN,NYJ,HOU,BYE,@IND,@TEN,TB,LAC,@OAK,@ATL,IND
KC,@JAX,@OAK,BAL,@DET,IND,HOU,@DEN,GB,MIN,@TEN,@LAC,BYE,OAK,@NE,DEN,@CHI,LAC
LA,@CAR,NO,@CLE,TB,@SEA,SF,@ATL,CIN,BYE,@PIT,CHI,BAL,@ARI,SEA,@DAL,@SF,ARI
LAC,IND,@DET,HOU,@MIA,DEN,PIT,@TEN,@CHI,GB,@OAK,KC,BYE,@DEN,@JAX,MIN,OAK,@KC
MIA,BAL,NE,@DAL,LAC,BYE,WAS,@BUF,@PIT,NYJ,@IND,BUF,@CLE,PHI,@NYJ,@NYG,CIN,@NE
MIN,ATL,@GB,OAK,@CHI,@NYG,PHI,@DET,WAS,@KC,@DAL,DEN,BYE,@SEA,DET,@LAC,GB,CHI
NE,PIT,@MIA,NYJ,@BUF,@WAS,NYG,@NYJ,CLE,@BAL,BYE,@PHI,DAL,@HOU,KC,@CIN,BUF,MIA
NO,HOU,@LA,@SEA,DAL,TB,@JAX,@CHI,ARI,BYE,ATL,@TB,CAR,@ATL,SF,IND,@TEN,@CAR
NYG,@DAL,BUF,@TB,WAS,MIN,@NE,ARI,@DET,DAL,@NYJ,BYE,@CHI,GB,@PHI,MIA,@WAS,PHI
NYJ,BUF,CLE,@NE,BYE,@PHI,DAL,NE,@JAX,@MIA,NYG,@WAS,OAK,@CIN,MIA,@BAL,PIT,@BUF
OAK,DEN,KC,@MIN,@IND,CHI,BYE,@GB,@HOU,DET,LAC,CIN,@NYJ,@KC,TEN,JAX,@LAC,@DEN
PHI,WAS,@ATL,DET,@GB,NYJ,@MIN,@DAL,@BUF,CHI,BYE,NE,SEA,@MIA,NYG,@WAS,DAL,@NYG
PIT,@NE,SEA,@SF,CIN,BAL,@LAC,BYE,MIA,IND,LA,@CLE,@CIN,CLE,@ARI,BUF,@NYJ,@BAL
SF,@TB,@CIN,PIT,BYE,CLE,@LA,@WAS,CAR,@ARI,SEA,ARI,GB,@BAL,@NO,ATL,LA,@SEA
SEA,CIN,@PIT,NO,@ARI,LA,@CLE,BAL,@ATL,TB,@SF,BYE,@PHI,MIN,@LA,@CAR,ARI,SF
TB,SF,@CAR,NYG,@LA,@NO,CAR,BYE,@TEN,@SEA,ARI,NO,@ATL,@JAX,IND,@DET,HOU,ATL
TEN,@CLE,IND,@JAX,@ATL,BUF,@DEN,LAC,TB,@CAR,KC,BYE,JAX,@IND,@OAK,HOU,NO,@HOU
WAS,@PHI,DAL,CHI,@NYG,NE,@MIA,SF,@MIN,@BUF,BYE,NYJ,DET,@CAR,@GB,PHI,NYG,@DAL
