,Team,Av QB-A,Av RB-A,Av WR-A,Av TE-A,Rank QB,Rank RB,Rank WR,Rank TE
0,ARI,0.0,2.25,28.15,13.8,-2.17,-1.22,-3.52,0.39
1,ATL,7.16,13.4,10.0,8.6,0.66,-0.57,1.92,0.88
2,BAL,5.1,7.85,7.05,2.55,2.94,0.97,-3.72,0.68
3,BUF,6.5,22.85,15.6,7.4,3.25,-1.25,5.28,-2.26
4,CAR,17.05,8.65,18.1,8.35,-0.8,3.04,2.69,1.56
5,CHI,0.0,7.6,8.65,7.55,0.0,1.85,-0.63,2.85
6,CIN,11.32,12.0,13.45,1.1,3.19,1.8,2.7,-4.03
7,CLE,0.0,24.9,11.25,0.0,-2.71,1.42,-3.56,-1.76
8,DAL,0.0,23.45,0.0,14.3,-0.54,2.65,-3.33,4.73
9,DEN,0.0,2.25,0.0,2.9,-1.83,-3.24,-5.79,-1.37
10,DET,0.0,14.25,21.55,0.95,-0.42,-4.72,1.63,-2.11
11,GB,7.95,20.6,12.1,6.0,0.99,3.78,4.9,1.08
12,HOU,10.4,6.35,14.9,8.2,5.3,0.0,-2.48,1.56
13,IND,0.0,28.4,19.3,5.7,0.0,2.23,1.79,2.46
14,JAX,0.0,0.0,19.95,2.25,-0.8,-0.53,-0.28,0.0
15,KC,0.0,6.05,23.15,3.85,-0.87,0.19,5.37,-0.65
16,LA,-0.24,7.85,2.8,2.25,-6.37,3.06,-2.58,-0.64
17,LAC,8.25,2.85,33.35,2.15,0.72,-0.27,2.78,-1.45
18,MIA,3.55,8.7,28.95,15.2,1.77,0.22,3.6,0.93
19,MIN,0.0,5.55,9.9,0.0,0.0,-1.68,1.72,-0.63
20,NE,-0.92,6.35,5.15,1.95,-2.58,-1.01,1.4,-2.48
21,NO,9.56,2.85,16.3,5.95,1.79,-2.18,-0.99,-0.94
22,NYG,21.47,7.35,29.6,0.85,3.53,-1.92,2.56,-0.15
23,NYJ,7.98,11.35,34.05,0.0,-2.18,0.5,4.62,-0.34
24,OAK,0.0,3.55,9.3,2.2,0.0,-1.4,1.0,-2.24
25,PHI,0.0,14.5,2.55,0.0,0.0,0.34,0.09,-1.19
26,PIT,0.0,11.95,15.74,11.0,-1.24,-1.27,-3.2,3.78
27,SF,12.82,1.15,21.85,1.4,0.88,-2.44,-0.59,-0.98
28,SEA,0.0,10.9,9.55,5.75,-0.99,2.69,-2.49,2.3
29,TB,8.77,3.85,8.6,0.0,-0.31,-2.34,1.83,-0.28
30,TEN,8.17,11.35,18.3,3.3,-0.02,0.25,-6.23,0.76
31,WAS,9.32,10.0,7.25,7.0,-1.18,1.06,-6.49,-0.43
